Hand,Skat,Won,Points,Moves,DurationMs,StartPlayer
"C8 C9 CQ S8 SA HT HA D7 DQ DK","CA H8",false,1,"H7:100, HQ:100, HT:0, H9:98, HA:0, HK:100",6742,Left
"C8 CT CJ CA S7 H7 HJ HQ HA DQ","S8 H8",true,0,"S9:100, S7:0, SA:100, D7:98, DK:93, DQ:8, H9:85, HJ:5, HK:100, CQ:100, CK:93, CJ:25, C9:93, C8:43, C7:95, HT:73, H7:63, SJ:88, SQ:20, HA:13, SK:73, D8:73, DJ:35, HQ:100, D9:0, CA:100, DA:0, ST:0, DT:0, CT:100",36273,Right
"C7 S7 ST SQ SK H8 HT HQ DT DK","CK H7",false,1,"S7:0, SA:100, SJ:100, DQ:100, DA:98, DK:0, C8:100, C7:0, CA:95, D8:98, D9:90, DT:0",15208,Declarer
"C7 CQ SJ H7 H8 H9 HT D7 DT DQ","S8 S9",false,1,"C9:100, C7:3, CK:98, ST:100, SA:93, SJ:5, D9:95, DT:8, D8:100",13007,Right
"CT CJ CQ S8 S9 SJ SK HJ HA DK","HK DJ",false,1,"H7:100, HJ:0, HQ:100, D7:98, DT:100, DK:0",6899,Right
"C8 CK S7 SJ SQ HJ D9 DT DJ DK","S8 HT",false,1,"D7:100, DQ:100, DJ:0, H7:100, HJ:0, HA:100, C9:93, C7:95, C8:0, D8:98, CA:95, D9:0",14300,Left
"CJ S8 SJ H7 H8 H9 HT HQ HK DT","C8 DQ",true,0,"H7:0, SA:98, HA:90, HJ:85, HT:0, CQ:100, DK:93, DT:3, DJ:95, DA:83, CJ:35, D9:80, SK:73, SJ:88, SQ:85, C7:50, S8:100, CT:0, D7:0, CA:0, HK:100, C9:13, CK:0, HQ:100, S7:0, H9:100, ST:0, D8:0, S9:0, H8:100",38685,Declarer
"C7 C9 S7 SJ SQ SA H9 HK D7 DA","S8 D9",false,1,"D7:0, DQ:100, DK:93, H8:100, H9:0, HJ:100, D8:100, DJ:98, DA:0",10804,Declarer
"CK S8 S9 SJ H7 HT HK D8 DJ DQ","C7 CJ",false,1,"H7:0, HA:95, H9:100, D7:98, DA:100, DQ:0, C8:100, CK:0, CT:100",11498,Declarer
"C8 S7 H9 HT HQ HK DJ DQ DK DA","C7 HA",false,1,"S7:0, SA:95, SQ:100, H7:100, CA:100, H9:0",7894,Declarer
"C8 C9 S7 S9 H8 HA D9 DT DJ DK","ST H9",false,1,"S7:0, SJ:98, SA:100, H7:100, H8:0, HK:98, D7:98, DA:90, DK:0, CA:90, C9:0, CK:95, HT:85, HA:0, C7:100",17417,Declarer
"CT CJ ST SK HT HQ HA D7 DT DJ","C7 H8",false,1,"H7:100, DA:100, HT:0",3977,Left
"C8 CT CQ ST SJ SA H9 HK D7 D9","HJ DT",false,1,"D7:0, DA:100, DK:100, S9:100, SK:100, SJ:0, H7:100, H9:0, HA:100, S7:100, SQ:98, ST:0, S8:100, SA:0, C7:100",16426,Declarer
"C7 CQ S8 S9 SJ SK H8 HT HQ DJ","HA DK",false,1,"C7:0, CA:100, CK:98, D7:100, DA:98, DJ:0, D8:100, SK:0, D9:90, C9:90, C8:93, CQ:0",20598,Declarer
"CJ CQ CK CA ST HK D9 DQ DK DA","S7 SJ",false,1,"D9:0, DJ:100, D7:95, C7:100, CT:98, CJ:0",7410,Declarer
"CQ ST H7 H8 H9 HJ HQ HK DT DA","C7 DK",false,1,"D8:100, DJ:98, DT:0, D7:98, DA:0, DQ:100",7504,Left
"C7 CT CA S7 S8 SJ H8 H9 D7 DK","C9 HQ",false,1,"C8:98, CK:100, CT:3, ST:100, S8:0, SK:100, S9:100, SA:100, SJ:0, D8:98, D7:0, DA:95, CJ:93, DJ:93, C7:0, CQ:88, HJ:68, CA:0",15024,Left
"C8 CT S9 SK H8 HT HQ HA D7 D9","ST HK",false,1,"S7:98, SA:100, SK:5, H7:100, H8:13, HJ:100, S8:98, SQ:100, S9:15, D8:100, D7:15, DK:83, C9:90, CK:98, CT:18, DJ:98, D9:30, DT:65, DQ:98, C8:38, CA:45, DA:95, HA:55, CQ:30, H9:58, HT:40, SJ:100",19374,Left
"C9 CJ S7 ST SQ H9 HT DJ DK DA","D8 DQ",false,1,"H7:100, H9:0, HA:100, D7:100, CK:100, DJ:0",5407,Right
"C7 CJ CQ CK HK HA D7 D9 DJ DK","ST H7",false,1,"D7:0, DA:100, DT:100, C8:95, CA:100, CK:0, H8:100, HK:0, HJ:100",7015,Declarer
"CJ CQ SK H8 H9 HT HA D8 D9 DJ","CK HJ",false,1,"S9:98, SQ:100, SK:0",3285,Left
