Hand,Skat,Won,Points,Moves,DurationMs,StartPlayer
"C7 CQ S7 S9 ST SK H9 DJ DQ DA","CK D8",false,1,"C8:100, CJ:100, C7:0, S8:98, S7:0, SA:100, H8:100, H7:98, H9:0",10625,Left
"C7 S8 ST SQ H8 H9 HT HQ D7 DA","CQ HJ",false,1,"S7:100, S8:0, SA:100, C8:90, CA:100, C7:0, H7:100, H8:0, HA:98, D8:95, DJ:93, D7:0, D9:90, DA:0, DQ:100",18810,Right
"CT S7 SJ H8 HJ D7 D8 DT DQ DA","HK D9",false,1,"H7:100, HQ:98, HJ:13, S9:98, S7:8, SA:98, C8:100, C7:98, CT:0",13882,Left
"C8 S7 SK HT HQ D8 D9 DQ DK DA","SA HK",false,1,"D8:3, DJ:100, DT:100, H9:100, H8:100, HT:0",6508,Declarer
"C7 CA SK SA H8 HQ HK D7 D9 DT","S8 ST",false,1,"H9:100, H8:0, HT:98, C8:100, CK:98, C7:0, S9:100, SK:0, SJ:100",12205,Right
"CJ CA S9 ST SJ SA HJ D7 D9 DJ","SK H8",false,1,"D7:0, DA:100, DK:98, S7:100, SQ:100, SJ:0, CK:100, CJ:0, CQ:95, C8:98, CA:0, C7:100",13712,Declarer
"C8 C9 CJ CQ CK SQ HA D9 DQ DK","HJ DT",false,1,"D7:98, DA:100, DK:0, H7:100, HA:0, H9:100",7174,Left
"C8 CJ CQ SJ SQ SK H7 HT HJ HQ","S7 HA",false,1,"H7:0, H8:98, HK:100, C9:100, C8:0, CA:98, C7:93, CT:90, CJ:0",12101,Declarer
"C7 CJ ST SJ HT HJ D8 D9 DT DK","HQ HA",false,1,"C7:0, CA:98, CK:100, S8:100, SQ:100, SJ:0, D7:98, D8:0, DQ:95, H8:95, H9:98, HT:0",15098,Declarer
"CT CQ S9 SK H9 HK DT DJ DQ DK","CJ S7",false,1,"C7:100, CT:0, CA:100, H7:100, HQ:98, H9:0, D7:100, DT:0, D8:100",10908,Right
"C9 CJ CQ S9 H7 H8 HK D8 DT DA","S7 HA",false,1,"D7:100, DK:93, DT:0, C8:98, C9:0, C7:100",8300,Left
"S8 SK SA H7 HJ HQ HK HA D8 DT","C7 H8",false,1,"S7:100, S8:0, S9:98, D7:98, DK:98, DT:3, ST:98, SK:0, D9:100",10013,Right
"CQ CK CA S7 S8 ST H7 H8 HK D8","SK DK",false,1,"D7:98, D8:0, DQ:95, C8:100, CJ:95, CQ:0",8199,Right
"C9 CK CA S8 ST SJ H7 HT HQ HK","CT D7",false,1,"S7:95, S9:100, S8:0, C7:100, C9:0, CQ:95, H8:95, HA:98, HK:0, C8:93, CK:0, CJ:100",12903,Left
"CK S7 SJ SQ SA H7 HJ HA DK DA","D8 DJ",false,1,"H8:95, H7:0, HK:98, D7:100, DQ:98, DK:0",8414,Right
"C8 C9 CK S8 ST HT HQ HK D9 DJ","H7 DK",true,0,"C8:0, CJ:98, CA:100, S7:100, S8:0, SA:100, D7:100, DQ:98, DJ:0, SK:100, ST:3, SQ:100, DT:95, D9:3, D8:93, CT:95, C9:0, C7:63, DA:85, CK:28, HA:38, H8:88, HT:15, HJ:0, S9:0, CQ:60, HK:100, SJ:0, H9:0, HQ:100",33086,Declarer
"C8 S7 SJ SA H8 H9 HJ HQ DT DA","HA DQ",false,1,"H7:100, H8:0, HK:100, D7:98, DK:100, DT:0, C7:98, C8:0, CK:100, HT:100, CA:100, H9:0, S9:83, S8:90, S7:0, SQ:68, SK:78, SJ:0, D9:70, DA:0, D8:100",22624,Right
"CT CA S7 ST SJ SA H7 H9 D9 DJ","C9 HA",true,0,"C7:98, CT:0, CJ:100, H8:100, HJ:93, H9:0, DT:88, D9:0, DA:98, HT:90, DK:83, H7:0, HQ:100, DQ:90, CA:15, C8:80, CK:43, DJ:60, SQ:52, SJ:90, S8:20, S9:68, S7:100, HK:0, CQ:0, SA:100, D8:0, SK:0, ST:100, D7:0",34196,Right
"S9 SQ SK SA H7 HT HQ DJ DQ DA","CQ DT",false,1,"H7:0, HA:100, HK:100, D8:100, DK:100, DQ:0, C7:100, SA:0, CJ:78, ST:78, S8:95, S9:0, H9:88, H8:100, HT:0",16498,Declarer
"C9 S7 S9 ST H8 H9 HJ HQ HK DK","SQ DQ",false,1,"S7:0, SA:98, SK:98, SJ:98, S8:98, ST:0, D7:100, DJ:95, DK:0",9693,Declarer
"CT CK CA S8 SJ SK H7 HJ D9 DQ","D7 DK",false,1,"H8:100, HK:100, HJ:0, C7:100, CT:0, CJ:93, D8:98, SQ:100, D9:0",12004,Left
"C7 C8 CJ S8 HT HK D8 DQ DK DA","CT SJ",false,1,"C7:0, CA:100, CQ:98, H7:98, HQ:100, HT:0, D7:100, D8:0, D9:98, CK:98, C9:95, CJ:0, S7:93, SA:95, S8:0, SQ:90, HK:8, SK:70, H9:73, HA:100, DA:18, DT:100, DQ:0, S9:100",24090,Declarer
