Hand,Skat,Won,Points,Moves,DurationMs,StartPlayer
"C9 CT CJ SJ SQ HK D8 D9 DQ DA","S7 H9",false,1,"D8:0, D7:100, DK:100, H7:98, HK:0, H8:100",6633,Declarer
"C9 CT CK SJ SK SA HA D9 DT DJ","C8 DA",false,1,"H7:100, HA:0, HT:100",2986,Right
"CT CJ CQ SJ SK H9 HT HA D7 DK","C9 D9",false,1,"D7:0, DA:100, DQ:98, H7:100, HQ:93, HT:0, HJ:90, H9:0, HK:100, S7:100, S8:95, SJ:0",14801,Declarer
"CQ CA S8 ST SJ SQ H9 D7 DT DK","C9 H7",false,1,"C7:100, CQ:0, C8:100",3904,Right
"CT CK CA S9 SJ SK HK D8 DT DK","C9 SA",false,1,"C7:100, CJ:100, CT:0, D9:95, D8:0, DQ:95, H8:100, HQ:100, HK:0",11600,Left
"CQ CK CA SJ SQ H7 HQ D7 D8 DT","S8 HA",false,1,"H7:0, HK:100, HT:98, C7:100, CJ:100, CQ:0",7821,Declarer
"CT CJ CA S9 SA H9 HQ HK DT DQ","C7 C8",false,1,"S7:100, S9:0, ST:100, H7:100, HJ:100, H9:0, D8:98, DT:0, DJ:100, S8:100, SK:88, SA:0",14096,Right
"C8 CJ S8 S9 ST H9 DT DQ DK DA","C9 CK",false,1,"S8:0, SA:100, SK:100, D7:100, DJ:98, DT:0, H7:95, H9:0, HJ:98, D8:100, HA:100, DQ:0",13087,Declarer
"C7 CA SK SA HJ D7 D8 D9 DK DA","H8 HQ",false,1,"H7:98, H9:95, HJ:0",4308,Left
"C7 C8 CQ S9 H8 HT HQ HA D9 DA","SQ DK",false,1,"D7:100, DJ:100, D9:0, C9:100, C8:0, CA:100, S7:100, SA:95, S9:3, CT:95, C7:3, CJ:93, H9:95, H7:85, H8:8, D8:78, DT:90, DA:0",20694,Left
"CK CA S9 H8 HQ HK D8 DT DJ DQ","CT CJ",false,1,"H8:0, HA:100, HJ:100, H7:100, HT:100, HQ:0",6283,Declarer
"C7 CJ S7 SJ SK H7 H8 HT HK DQ","HQ DT",false,1,"CT:95, C9:100, C7:0, SQ:100, ST:100, SJ:3, D9:90, D8:98, DQ:0",15795,Left
"C7 C8 CA S9 ST SJ SA H7 HA DK","CJ DT",false,1,"S7:100, S9:0, S8:100",4218,Right
"C7 C8 C9 CK S8 SJ H9 D8 DQ DK","S7 DT",false,1,"D9:100, D8:0, DA:98, CQ:98, CJ:100, C9:0, S9:98, SA:95, SJ:0, H7:98, H9:0, HA:93, SQ:90, SK:85, S8:0, H8:80, DK:5, HK:90, D7:65, DJ:45, DQ:0",27907,Right
"C7 CJ S8 SQ SK SA H7 HK D7 DT","C8 DQ",false,1,"S7:98, SJ:100, S8:0, D8:100, D7:0, DA:98, H8:98, HJ:98, H7:0, C9:95, C7:0, CA:98, CK:100, CQ:95, CJ:0, CT:90, ST:70, HK:33, HQ:85, HT:83, SA:52, D9:73, DK:100, DT:68, S9:100, SQ:0, H9:100",33508,Left
"CJ CQ CK S7 SQ SK H7 H8 DT DQ","HK DA",false,1,"D7:100, DT:0, D8:100",3467,Right
"S9 SK SA H7 HQ HA D9 DQ DK DA","H8 DT",false,1,"H7:0, HJ:100, HK:100, S7:100, S9:0, ST:100, HT:100, H9:100, HQ:0",11032,Declarer
"C7 C8 CK S7 S9 SJ SA H8 D7 D8","SQ HK",true,0,"H7:100, H8:45, HA:98, D9:100, DK:95, D8:45, C9:100, C8:55, CA:90, CJ:90, CT:90, C7:23, H9:95, HQ:90, CK:95, DT:85, D7:100, DA:68, DJ:70, DQ:58, SA:100, S8:63, S7:100, CQ:35, ST:0, S9:100, HJ:0, SK:0, SJ:100, HT:0",41566,Right
"C9 SQ SK H9 HT HQ D9 DT DQ DA","ST H8",false,1,"D8:100, D9:0, DK:100, S7:98, S9:100, SQ:0",7504,Right
"CA SQ SK SA H8 H9 D7 D9 DT DQ","CT DJ",false,1,"D7:0, DK:100, DA:100, C7:98, CA:0, C8:100",7193,Declarer
"C9 CQ CK S7 ST H9 HK D7 D9 DT","C7 DQ",false,1,"D8:100, DA:100, DT:0, C8:100, C9:0, CA:98, HT:88, HQ:100, H9:0, SJ:90, ST:0, SA:90, HJ:75, H8:48, HK:0",18917,Left
"C7 C8 CT CK H7 H8 H9 HJ HK D9","HT HA",false,1,"D8:100, D9:60, D7:100",8186,Right
"C7 C9 S8 S9 ST SJ D8 DJ DK DA","CA HT",false,1,"D7:100, DQ:100, DJ:18, D9:100, D8:23, SA:100, S7:100, S8:0, SK:98, HQ:98, HK:100, DA:0, DT:100, DK:0, H7:100",16114,Left
"CJ CQ S8 SK SA H9 HT D9 DQ DA","SJ DK",false,1,"S7:100, SQ:100, S8:0, D8:100, D9:0, DT:100, D7:98, DJ:100, DQ:0",10083,Left
"S7 S8 S9 SJ SA D8 D9 DT DJ DQ","C9 HK",false,1,"D8:40, DA:100, HA:100, D7:100, CA:98, D9:0",13411,Declarer
"SQ SA H7 H9 HJ HK D7 DT DK DA","S8 SJ",false,1,"C8:100, SA:3, CA:90, D8:100, SK:100, D7:0, C7:100, CJ:95, SQ:3, HA:90, HK:10, HQ:100, HT:88, H9:15, CK:100, H8:80, H7:13, DQ:100, S7:80, DA:8, DJ:100, CT:40, DK:0, CQ:100, D9:100, ST:100, DT:0",32788,Right
