Hand,Skat,Won,Points,Moves,DurationMs,StartPlayer
"C8 SJ SK H7 H9 HT HJ D8 DJ DK","C9 HA",false,1,"H8:100, H7:0, SA:98, HQ:100, HJ:3, SQ:100, S8:100, SJ:0, S7:100",13820,Right
"C8 CJ SJ H7 HJ HQ D8 DT DJ DA","C7 S9",false,1,"D7:98, D8:3, DK:98, SA:98, SK:95, SJ:0, C9:95, CT:93, C8:8, H9:100, H7:3, HA:98, CQ:100, DQ:85, CJ:13, CK:90, SQ:78, HQ:30, CA:90, ST:35, HJ:35, D9:70, HT:93, DT:0",29401,Right
"C8 C9 CK SA HQ HA D7 DJ DK DA","CA H7",false,1,"C7:100, C8:0, CT:98, S7:98, SK:100, SA:0",6814,Right
"C8 C9 CT CA SA H7 H8 HA D8 DT","CJ DA",false,1,"H7:0, HQ:98, HK:100, C7:100, C8:0, CK:98, DQ:98, DK:93, DT:0, S7:98, SA:0, S8:100",13700,Declarer
"C9 CJ CA S9 ST SK H8 HJ DT DQ","D7 D9",false,1,"C7:100, C9:0, CK:98, S7:100, S8:100, S9:0",7914,Right
"S7 S8 SJ SK SA H9 HT HJ HA DQ","SQ H8",true,0,"H7:98, HQ:93, HJ:0, C7:90, DQ:25, CJ:95, D7:93, DA:73, HA:25, DT:65, HT:40, DK:52, D8:40, CA:28, H9:100, S9:48, CK:73, S8:100, D9:0, CQ:28, SA:100, ST:0, CT:63, S7:100, DJ:0, C9:5, SK:100, HK:0, C8:0, SJ:100",38968,Left
"S9 SQ H8 H9 HT HJ HQ D8 D9 DT","CJ ST",true,0,"DJ:100, DT:0, DK:100, H7:100, HK:100, HQ:5, D7:100, D8:13, DQ:98, S7:98, SA:85, SQ:88, SK:95, S9:100, SJ:83, C7:95, HJ:100, CQ:68, S8:78, CA:63, HT:100, C9:0, CK:0, H9:100, C8:0, D9:100, CT:0, HA:0, DA:0, H8:100",34819,Right
"C8 C9 S7 SJ HJ HK HA D7 DQ DA","ST HT",false,1,"S8:100, S7:0, SA:100, H7:100, H8:100, HJ:0",7578,Right
"C7 CQ CK CA SA HQ HK HA D7 DA","H7 DK",false,1,"S7:100, SA:0, S8:100",3808,Right
"C9 CT CQ CK ST H9 HT HK D8 DQ","S7 D9",false,1,"H7:100, HQ:100, HT:3, D7:100, D8:0, DK:95, DT:100, DA:100, DQ:0, HJ:93, H9:0, HA:88, C7:98, CJ:93, CT:3, S8:78, ST:3, SQ:88, SJ:70, S9:43, HK:52, C8:100, SA:100, C9:0",27818,Left
"C7 CK CA S8 ST SA H7 H8 D9 DJ","SJ SK",false,1,"C9:95, CJ:100, C7:0, D7:100, D9:0, DQ:100, S9:95, S7:100, S8:0, DT:93, DA:95, DJ:0, H9:95, H8:0, HA:93, CT:80, C8:93, CK:0",22108,Left
"C9 CJ CK S7 S9 H9 D7 DT DQ DK","CT DJ",false,1,"D7:0, DA:100, SQ:98, C7:100, CQ:98, CJ:0, H7:93, H9:0, HT:100, C8:100, HA:100, C9:0",14164,Declarer
"C7 C9 CK HJ HQ HA D7 D8 DJ DK","CJ S9",false,1,"H8:98, HK:95, HQ:0, DT:95, D8:0, D9:98, ST:93, HA:0, S8:93, H7:60, HJ:0, S7:100",17412,Left
"C7 C8 CQ CK CA S8 H7 HT HK HA","CT S9",true,0,"C9:100, CJ:98, C8:40, S7:98, S8:33, SA:100, D8:98, DT:93, HA:48, ST:83, HK:75, SK:95, H8:93, HJ:25, HT:100, D7:23, CA:100, DJ:0, H9:0, DA:30, H7:100, D9:0, DK:0, CK:100, SQ:0, CQ:100, SJ:0, DQ:0, C7:100, HQ:0",40007,Left
"C7 C8 CA S9 SK H7 HK HA DT DJ","S7 DQ",false,1,"C7:0, CT:100, CK:93, S8:98, S9:0, SQ:100, H8:100, HQ:98, H7:0, HJ:95, HK:0, H9:100",12995,Declarer
"CT S7 S9 ST SK HT HK D7 DT DA","CQ H9",false,1,"C7:100, CT:0, CK:98, D8:100, DK:98, DT:0, S8:100, S7:3, SA:95, HJ:98, H8:90, HT:3, SJ:98, CA:83, ST:8, SQ:80, HA:63, S9:0, H7:68, HQ:55, HK:0",23299,Right
"CT CJ CA S9 ST H7 H9 HQ D9 DQ","S8 SJ",false,1,"H8:98, HT:100, H9:0, S7:100, S9:0, SA:98, SQ:100, SK:100, ST:0, C7:95, CT:3, C8:100",12391,Left
"C9 CK S7 SJ SK SA H7 HK D9 DK","DT DA",false,1,"C8:93, C9:0, CJ:100, C7:98, CA:95, CK:0, S9:95, S7:0, S8:100, HJ:95, HK:3, H8:100",13813,Right
"CJ CQ CK S9 ST SQ SK H9 HJ DT","CA HA",false,1,"S7:100, DA:100, S9:0",2798,Left
"C7 C9 CK S7 S8 SA HT HK D8 DK","HJ HA",false,1,"H7:98, H9:98, HT:0",3790,Left
"C8 CK S8 SK D7 D8 D9 DT DJ DK","S7 H9",true,0,"H7:100, SK:8, HK:100, S9:100, SQ:93, S8:13, C9:93, C8:23, CA:85, ST:98, SJ:83, CK:100, H8:15, DK:100, HJ:88, DA:93, DQ:0, DJ:100, C7:93, CQ:0, DT:100, CJ:0, D9:100, CT:0, HQ:0, D8:100, HT:0, HA:0, D7:100, SA:0",37505,Right
"C7 CA SJ SK H7 H9 HJ D7 DJ DK","S7 SA",false,1,"D8:98, D7:0, DA:100, S8:98, SQ:95, SJ:0, H8:100, H7:0, HK:95, ST:93, S9:88, SK:0",16111,Right
"C9 S7 SK H8 HT HJ HQ D9 DJ DK","C8 H9",false,1,"D7:100, DT:100, D9:0, HA:98, HQ:0, HK:100, C7:98, C9:0, CA:98, ST:98, S9:98, S7:3, DQ:95, CK:98, DJ:0, D8:100, SA:80, DK:0",18383,Left
"C7 CQ S8 SQ SA H7 HQ HA D9 DQ","ST HK",false,1,"S7:98, S8:0, D7:100",3817,Right
"CQ CA S8 S9 SJ SQ H9 HK HA DQ","HQ D7",false,1,"S7:100, S8:0, SK:100, C7:100, CK:98, CQ:0, H8:98, H9:0, HT:100, H7:100, HJ:95, HK:0",12786,Right
"CJ SK SA H8 HJ HA D7 DT DK DA","CT SJ",false,1,"D7:0, DQ:100, D9:100, H7:98, HK:100, HJ:0, C7:100, CJ:0, C8:100",8297,Declarer
"C8 CJ S8 S9 SJ H8 HJ HQ HA DA","S7 DT",false,1,"S8:0, SA:100, SK:100, H9:100, HT:100, H8:0, H7:100, HJ:0, HK:90, D7:98, D9:95, DA:0",12597,Declarer
