Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,BlankTens,MaxSuitLen,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[CJ CK CQ C7 SA SQ S9 H7 DQ D7],C,4,1,0,0,0,3,0,0,[C8 DA],11,0.0000,[CJ CK CQ C7 SA SQ S9 H7 DQ D7],,-,-,-,-,-,-,-
[CJ HJ C8 SA SK S9 S8 HQ D9 D8],CH,3,1,0,0,0,4,0,0,[CA SQ],14,0.0000,[CJ HJ C8 SA SK S9 S8 HQ D9 D8],,-,-,-,-,-,-,-
[DJ CT C9 C8 C7 S8 HT HQ DQ D8],D,5,0,1,0,0,4,0,0,[CJ SQ],5,0.0000,[DJ CT C9 C8 C7 S8 HT HQ DQ D8],,-,-,-,-,-,-,-
[HJ CK C8 C7 SA S7 H7 DT D8 D7],H,4,1,1,0,0,3,0,0,[HA D9],11,0.0000,[HJ CK C8 C7 SA S7 H7 DT D8 D7],,-,-,-,-,-,-,-
[CJ CT CK ST SQ S9 H9 DA DQ D9],C,3,1,1,0,0,3,0,0,[CA CQ],14,0.0000,[CJ CT CK ST SQ S9 H9 DA DQ D9],,-,-,-,-,-,-,-
[CT CQ C9 ST S8 S7 HA DK DQ D8],-,3,1,1,0,0,3,0,0,[SA H8],11,0.0000,[CT CQ C9 ST S8 S7 HA DK DQ D8],,-,-,-,-,-,-,-
[CJ HJ CK CQ C7 S8 H9 H7 D9 D7],CH,5,0,0,0,0,3,0,0,[HT DK],14,0.0000,[CJ HJ CK CQ C7 S8 H9 H7 D9 D7],,-,-,-,-,-,-,-
[SJ HJ CK C8 S9 H7 DT DK DQ D7],SH,4,0,1,0,0,4,1,0,[SA D9],11,0.0100,[SJ HJ CK C8 S9 H7 DT DK DQ D7],,-,-,-,-,-,-,-
[CJ HJ DJ CK C9 C8 S9 S8 HK DT],CHD,6,0,1,0,1,3,0,0,[SA D9],11,0.0000,[CJ HJ DJ CK C9 C8 S9 S8 HK DT],,-,-,-,-,-,-,-
[SJ HJ DJ C9 S9 S7 HT H8 D8 D7],SHD,4,0,1,0,0,2,0,0,[C7 HA],11,0.0000,[SJ HJ DJ C9 S9 S7 HT H8 D8 D7],,-,-,-,-,-,-,-
[CJ DJ CA CQ C7 S9 S7 DT D9 D7],CD,5,0,1,0,0,3,0,0,[SJ H7],2,0.0100,[CJ DJ CA CQ C7 S9 S7 DT D9 D7],,-,-,-,-,-,-,-
[HJ CT CK C7 ST S9 HT HK H9 H8],H,4,0,2,0,0,4,1,0,[SK SQ],7,0.0000,[HJ CT CK C7 ST S9 HT HK H9 H8],,-,-,-,-,-,-,-
[DJ CK S8 S7 HT HK HQ H9 H7 D8],D,2,0,1,0,0,5,1,0,[HJ DQ],5,0.0000,[DJ CK S8 S7 HT HK HQ H9 H7 D8],,-,-,-,-,-,-,-
[CA CK CQ C8 SK SQ S9 H8 DA DK],-,4,1,0,0,0,4,0,0,[SA HA],22,0.0000,[CA CK CQ C8 SK SQ S9 H8 DA DK],,-,-,-,-,-,-,-
[DJ CA CT CQ C9 C8 SK HK H8 D7],D,6,0,0,0,0,5,0,0,[ST H7],10,0.0000,[DJ CA CT CQ C9 C8 SK HK H8 D7],,-,-,-,-,-,-,-
[CJ DJ CK SA SK SQ S8 HT HQ D9],CD,3,1,1,0,0,4,0,0,[CT D7],10,0.0000,[CJ DJ CK SA SK SQ S8 HT HQ D9],,-,-,-,-,-,-,-
[CJ CT C9 C8 SA S8 HT DA DK DQ],C,4,2,1,0,1,3,0,0,[SK H7],4,0.0500,[CJ CT C9 C8 SA S8 HT DA DK DQ],,-,-,-,-,-,-,-
[SJ HJ CK CQ HA HT HK H7 DK D7],SH,4,1,1,1,0,4,1,0,[DJ C8],2,0.0200,[SJ HJ CK CQ HA HT HK H7 DK D7],,-,-,-,-,-,-,-
[HJ CK CQ C9 S8 HA HT H9 DT D7],H,4,1,2,1,0,3,0,0,[SK S7],4,0.0000,[HJ CK CQ C9 S8 HA HT H9 DT D7],,-,-,-,-,-,-,-
[CJ SJ CA CT CK C9 C7 SA D8 D7],CS,7,1,0,0,0,5,0,0,[S8 HK],4,0.9800,[CJ SJ CA CT CK C9 C7 SA D8 D7],,-,-,-,-,-,-,-
[CA CQ SA ST SK S9 S7 H8 DK DQ],-,2,1,1,1,0,5,1,0,[C7 D7],0,0.0000,[CA CQ SA ST SK S9 S7 H8 DK DQ],,-,-,-,-,-,-,-
[CJ CT CQ SK S7 HK HQ H7 DT DK],C,3,0,1,0,0,3,0,0,[S8 D9],0,0.0000,[CJ CT CQ SK S7 HK HQ H7 DT DK],,-,-,-,-,-,-,-
[DJ CT CK C9 SA SK HT H9 H8 D9],D,4,1,1,0,0,3,0,0,[S8 D7],0,0.0000,[DJ CT CK C9 SA SK HT H9 H8 D9],,-,-,-,-,-,-,-
[CA CT CQ C8 SA S7 HK H7 DQ D9],-,4,1,0,0,0,4,0,0,[HA HT],21,0.0000,[CA CT CQ C8 SA S7 HK H7 DQ D9],,-,-,-,-,-,-,-
[CJ DJ C8 C7 S7 HQ H9 DQ D8 D7],CD,4,0,0,0,0,3,0,0,[SJ S8],2,0.0000,[CJ DJ C8 C7 S7 HQ H9 DQ D8 D7],,-,-,-,-,-,-,-
[CJ SJ CT CK CQ SK S9 S8 D9 D8],CS,5,0,0,0,0,3,0,0,[HT HQ],13,0.0000,[CJ SJ CT CK CQ SK S9 S8 D9 D8],,-,-,-,-,-,-,-
[SJ CK C8 C7 HK H9 H8 DA DT D8],S,4,1,1,1,0,3,0,0,[SQ D9],3,0.0000,[SJ CK C8 C7 HK H9 H8 DA DT D8],,-,-,-,-,-,-,-
[CT C9 C7 S7 HT H7 DA DK D9 D7],-,3,1,1,0,0,4,0,0,[SA DT],21,0.0000,[CT C9 C7 S7 HT H7 DA DK D9 D7],,-,-,-,-,-,-,-
[HJ CK C8 S9 S8 S7 HT H9 DA DQ],H,3,1,1,0,0,3,0,0,[ST D9],10,0.0000,[HJ CK C8 S9 S8 S7 HT H9 DA DQ],,-,-,-,-,-,-,-
[CA CT CK SA S9 S8 S7 HT H7 D9],-,3,1,1,0,0,4,0,0,[C8 DA],11,0.0000,[CA CT CK SA S9 S8 S7 HT H7 D9],,-,-,-,-,-,-,-
[CJ DJ CQ C8 C7 SA S9 HA HK H7],CD,5,2,0,0,0,3,0,0,[H8 D8],0,0.3600,[CJ DJ CQ C8 C7 SA S9 HA HK H7],,-,-,-,-,-,-,-
[CJ DJ CA CQ SQ S7 HA HQ H9 DQ],CD,4,1,0,0,0,3,0,0,[SA HK],15,0.0000,[CJ DJ CA CQ SQ S7 HA HQ H9 DQ],,-,-,-,-,-,-,-
