Hand,Skat,Won,Points,Moves,DurationMs,StartPlayer
"C8 CT CJ S8 S9 HT HK HA D8 DA","CA HQ",false,1,"D9:98, DK:98, D8:0, D7:100, DA:0, DT:100",7024,Left
"C8 C9 CT S8 S9 SK HJ HA D8 DJ","SJ DA",false,1,"C7:100, CQ:100, CT:0, D7:100, D8:0, DT:98, H7:93, H8:100, HJ:0",9519,Left
"S8 ST SK SA H8 HJ HQ HK D9 DQ","CK SQ",false,1,"C8:100, C9:100, SA:3, HT:98, H8:0, H9:98, SJ:100, ST:5, S9:95, D7:95, D9:3, DA:85, DK:95, DJ:13, DQ:18, S7:85, HA:100, S8:0",19891,Left
"C8 C9 CJ CA SJ SK SA H9 D7 DJ","S9 DQ",false,1,"C7:100, C8:0, CK:100, S8:100, SQ:100, SJ:0, H7:100, H9:0, H8:100",10503,Right
"C9 CT CQ CK SJ SQ H7 HT HJ HA","CJ DK",false,1,"H8:100, HQ:100, HJ:0, S8:100, SJ:0, S7:100",8786,Left
"C9 SQ SK H7 H8 HT HJ HQ HA DQ","CK DK",false,1,"S8:100, SJ:98, SQ:0",5925,Left
"C8 C9 CT CK SK H8 HQ HK DJ DA","CQ S8",false,1,"C8:0, CA:100, CJ:100, C7:100, HA:100, C9:0",7095,Declarer
"C7 C9 CQ CA HQ D7 D9 DQ DK DA","S7 HA",false,1,"H8:98, HQ:0, H7:100",3891,Right
"C7 CT CJ CK CA SQ SA H7 DT DJ","CQ DK",false,1,"H7:0, HQ:100, HA:100, D7:98, DT:0, DA:95, C8:100, HK:100, C7:0, S7:100, S8:100, SQ:0",14109,Declarer
"C9 CJ CQ S7 S9 H8 HJ D9 DQ DA","ST DJ",false,1,"C8:98, CK:100, CQ:0, C7:100, C9:0, CA:93, H9:93, HA:98, HJ:0, D7:98, D9:0, DK:65, SQ:70, S8:98, S9:0, HT:58, HQ:85, H8:5, D8:85, DQ:0, CT:100",24172,Left
"C7 C9 CQ S7 S9 ST SQ SK HT D7","C8 S8",true,0,"H7:100, HK:98, HT:73, D8:100, D7:85, DA:90, SJ:83, CA:100, ST:95, SA:58, DK:93, SK:100, CJ:38, CT:90, C9:100, DT:20, DQ:43, SQ:100, H8:78, CQ:100, HA:0, HJ:0, H9:3, S9:100, HQ:0, DJ:10, S7:100, CK:0, D9:0, C7:100",46009,Left
"C7 C8 CT SJ SQ H7 H8 H9 HK DT","D7 DJ",false,1,"CJ:98, CA:95, CT:0, D9:100, DT:0, D8:100",15103,Left
"CJ CQ S7 SA H7 HT HK HA D7 DA","S8 DJ",false,1,"H7:0, H9:95, HQ:98, C7:100, CJ:0, CA:100, DT:98, D9:93, D7:0, S9:98, DK:98, S7:0, ST:100, DQ:93, SA:0",17386,Declarer
"C7 C8 CA SJ SQ HJ D9 DT DQ DA","HQ D7",true,0,"C7:0, CK:93, CT:100, DJ:95, D8:98, DT:0, CJ:93, C9:98, C8:0, H8:93, HK:100, HJ:0, SK:98, SQ:0, ST:73, H7:80, SJ:10, HA:60, DK:48, H9:38, DQ:0, HT:0, S9:0, CA:0, CQ:0, S8:0, DA:0, SA:0, S7:0, D9:100",37703,Declarer
"C9 CT CJ S8 S9 SK HT HK D7 D9","H7 DJ",false,1,"D7:0, DT:98, DA:100, ST:100, S9:0, SA:100, S7:98, SJ:90, S8:0, H9:90, HT:0, HQ:100, H8:95, HA:55, HK:0, CQ:73, CJ:3, CA:93, C7:88, CK:63, CT:13, D8:60, D9:20, C8:100",29097,Declarer
"C8 CT CK S9 SQ SK H7 H9 DJ DK","HT DA",false,1,"C7:100, CQ:100, CT:0, S7:100, S9:0, S8:100",7300,Left
"CT CJ S7 S9 ST H7 H8 DT DK DA","SA D7",false,1,"C7:100, CT:3, CQ:100, D8:100, DJ:100, DT:0, S8:95, S7:0, SK:100, D9:100, CA:95, DK:0",14606,Right
"C8 SJ H8 HT HQ HK HA DJ DK DA","D7 DT",false,1,"D8:100, DJ:0, C7:100",3698,Right
"C8 S8 ST SJ H8 HT D7 D8 DJ DK","H9 HA",true,0,"D7:5, DA:100, DT:98, DQ:98, D9:95, DJ:25, C7:93, CA:98, C8:23, H7:100, H8:30, HQ:95, CT:88, C9:78, SJ:70, S7:83, S9:68, S8:95, HJ:48, HT:100, SK:43, HK:0, DK:100, CQ:0, CK:0, ST:100, CJ:0, SA:0, D8:100, SQ:0",36301,Declarer
"C7 CT CJ SJ SK SA HJ D7 DQ DA","C9 D8",false,1,"S7:100, SQ:100, SJ:0, ST:100, SK:0, S8:100",6791,Left
"CT CQ S7 HJ HK D8 D9 DJ DQ DK","HQ D7",false,1,"C7:100, CT:0, CA:100, C8:100, SA:98, CQ:0",5800,Right
"CJ S8 S9 ST SA HJ HK HA D9 DK","S7 H7",false,1,"H8:100, HT:100, HJ:0",3223,Left
"C9 CT S8 ST HJ HQ D8 D9 DT DQ","SA DA",false,1,"C8:98, C9:0, CK:100, S7:100, SQ:90, ST:0, DJ:90, DT:0, D7:100, DK:93, DQ:3, SK:98, H8:80, HJ:3, H7:100",19694,Right
"C7 CT CQ CA S9 SJ SQ SA H7 D9","CK HJ",false,1,"S7:100, S9:0, SK:100, S8:98, HA:100, SJ:0",7205,Right
"CA S7 S8 SJ SQ HJ HQ DT DK DA","HA D7",false,1,"H7:100, H8:100, HJ:0",3179,Left
"C7 CQ ST SQ SK H7 HQ HK DQ DA","CK SJ",false,1,"S7:100, ST:0, S8:100",3311,Right
"C9 CT CK CA S9 SK SA HK HA DQ","C8 HT",false,1,"H7:100, HK:0, H8:100",3290,Right
"C8 C9 CK S7 SA H7 H8 HA D7 DT","CT D9",false,1,"S7:0, SK:98, SJ:98, H9:95, HK:98, H8:0, D8:98, D7:0, DK:93, DQ:93, DA:83, DT:0, HT:93, H7:0, HQ:88, CJ:88, CA:75, CK:0, S8:73, SA:0, SQ:100",23191,Declarer
"C9 S7 SQ SK H9 HT D8 DT DK DA","C7 CK",false,1,"D9:100, D8:0, DJ:100, D7:100, DQ:93, DT:0, CJ:93, C9:5, CA:98, S8:90, SA:90, SK:10, H7:90, H9:13, H8:100",17001,Right
"C7 C9 SA H7 H8 H9 HJ HA D9 DJ","CA DQ",false,1,"D7:98, D9:0, D8:100",3214,Right
"CJ CQ SJ H8 HT HJ HQ HK DJ DA","CA HA",false,1,"H8:0, H7:100, H9:98, C7:100, CJ:0, CK:100, D7:100, DT:98, DJ:0",10187,Declarer
"CT CJ S7 SA HA D7 D8 D9 DT DK","S9 SK",false,1,"S7:0, SQ:100, ST:95, C7:100, C9:98, CT:0",7322,Declarer
"C7 C8 CJ CQ SJ HJ D7 D8 D9 DA","SQ HQ",false,1,"H7:100, HJ:3, H8:100",3986,Right
"C7 S7 S8 SQ H7 H9 HJ D7 DT DJ","H8 HQ",true,0,"S9:100, S8:25, SJ:95, D8:98, DA:95, DJ:100, HT:95, H9:100, HA:90, C8:90, CT:73, C7:100, ST:68, S7:100, CA:88, DQ:0, DT:100, D9:75, HK:0, HJ:100, CK:73, DK:0, D7:100, CQ:58, SK:0, SQ:100, CJ:23, SA:0, H7:100, C9:0",40209,Right
"C7 CQ CA S7 S9 H8 H9 HJ D8 D9","SK DK",false,1,"C7:0, CJ:98, CK:100, D7:100, D8:0, DQ:100, C9:98, C8:98, CQ:0",9708,Declarer
"CJ CK CA S8 SA H9 HT D7 D8 D9","C8 HQ",false,1,"CT:98, CJ:0, C7:100",3887,Right
"C8 CT S9 SQ SK H7 HT HQ D9 DK","ST H8",false,1,"S8:98, S9:0, SJ:100, C7:100, CK:98, CT:0, H9:98, H7:0, HK:100, C9:95, CJ:95, C8:0, HJ:98, HT:0, CA:90, DT:78, D9:0, DA:98, D8:85, D7:55, DK:0",24981,Right
"C7 CT CJ CK CA SQ H8 D7 DJ DK","S7 D9",false,1,"C8:98, CQ:100, CJ:3, S8:100, SQ:0, S9:100",9721,Left
"ST SK H7 H8 HT HJ HQ HK DT DQ","CT SA",false,1,"S7:100, ST:0, SQ:100, SJ:100, S9:95, SK:0",8080,Right
"C9 CQ CA SA H9 HA D8 D9 DQ DK","H8 D7",false,1,"C7:95, C9:0, CK:100, H7:100, HK:95, H9:0, S9:98, SA:0, S7:100",10324,Right
"C7 CT CJ S9 H7 HT HJ DJ DQ DA","C9 H8",false,1,"H9:100, H7:0, HA:100, S7:98, SQ:95, S9:0, SJ:95, DA:3, SK:93, C8:95, CA:100, CJ:0, HQ:100, HJ:0, DK:90, CQ:100, CT:0, DT:78, D7:0, DJ:0, D8:100",24786,Right
"CT CQ CA S9 ST H7 H8 HT HA D7","C7 SJ",true,0,"D7:3, DA:100, DT:100, S7:95, SA:100, ST:0, HQ:100, HT:0, HJ:95, SQ:100, S9:8, SK:90, H9:85, HK:95, H8:10, D8:95, CA:18, DK:58, CJ:50, C9:45, CT:43, S8:43, CK:60, CQ:100, DJ:0, D9:0, HA:100, DQ:0, C8:0, H7:100",34181,Declarer
"C9 S7 S9 ST SQ H8 HK HA DJ DK","D9 DT",false,1,"C8:100, CJ:98, C9:0, D8:98, DJ:0, D7:100",9408,Left
"CJ CQ S8 S9 ST SQ SA H7 HA D9","C7 DJ",false,1,"H7:0, HQ:100, HK:98, D7:100, D9:0, DK:100, H8:98, HT:98, HA:0",10924,Declarer
"C7 C9 CT SJ SQ HJ HQ HK D9 DT","CQ D8",false,1,"C7:0, CA:100, CJ:100, S7:100, S9:98, SJ:0",6366,Declarer
"C9 CQ S7 SQ SK SA H7 D7 D8 DK","CA DJ",false,1,"C7:100, C9:0, CJ:100, H9:100, HK:100, H7:0, H8:100, DK:3, HA:95, D9:95, DA:95, D8:0, S8:98, S7:3, SJ:93, DQ:88, ST:90, D7:43, DT:100, CT:75, CQ:43, C8:65, CK:100, SA:52, S9:100, SQ:0, HT:100",29527,Right
"C9 CT CJ CQ ST SQ SA H9 HK D9","D7 D8",false,1,"C9:0, CA:100, C7:98, S9:95, S8:95, ST:0",6501,Declarer
"C9 CQ CK SJ H8 HT HK D8 DT DJ","C7 ST",true,0,"D8:0, DA:93, DQ:100, S7:98, SK:100, SJ:0, S9:100, DJ:3, SA:85, C8:83, CJ:100, C9:0, D7:98, DT:3, DK:70, HQ:52, HJ:75, HT:15, CT:40, CA:100, CK:20, H7:100, H8:28, HA:0, S8:0, H9:0, HK:100, SQ:0, D9:0, CQ:100",31193,Declarer
"S7 S8 SK SA H9 HQ HK D7 DJ DA","C9 HT",false,1,"D7:0, DK:100, D8:100, C8:100, CA:100, DA:0, S9:100, S8:0, SJ:83, D9:83, HA:100, DJ:0",13184,Declarer
"C9 CA SA H7 HT HK HA DT DQ DA","C7 S7",false,1,"H7:0, HQ:100, SK:100, D7:100, DK:100, DQ:0, D8:95, DT:0, DJ:100, H8:100, CQ:100, HT:0",13300,Declarer
"CJ S8 S9 ST SJ SK HJ HQ DK DA","SA HA",false,1,"H8:100, HJ:0, H7:100",4094,Right
"C8 CT CK CA S9 SA H7 HT D8 DQ","C9 D9",false,1,"H7:0, HA:100, HK:98, D7:100, DA:98, DQ:0, H9:100, HT:0, HJ:100, CJ:100, C7:100, CT:0, S8:95, S7:95, S9:0",14006,Declarer
"C8 SJ SA H7 H9 HT HA D9 DQ DA","CK S9",false,1,"H7:0, HJ:100, HK:100, C7:100, C8:0, CQ:100, D8:98, DK:100, DQ:0, D7:100, D9:0, DJ:100, SK:85, SQ:93, SJ:0, S8:90, ST:85, SA:0",16014,Declarer
"C9 CK CA S7 H7 HA D7 D8 DJ DK","CQ S9",false,1,"S7:0, SA:98, SK:98, H8:98, HK:100, H7:0, C7:98, C9:0, CJ:98, DT:93, D9:95, D8:0, S8:83, SJ:88, HA:3, HQ:83, CA:20, HJ:48, C8:85, CK:0, ST:100",22988,Declarer
"C7 C8 C9 CJ CA SJ SQ H8 HJ DA","H9 HK",false,1,"S9:98, S8:100, SJ:0",3401,Left
"C9 CJ S7 SJ SA HQ D7 D9 DT DA","H8 DJ",false,1,"C8:100, C9:0, CA:100, H7:100, HA:90, HQ:3, S8:95, SJ:5, S9:100",10282,Right
"C8 C9 CQ SQ SA HT HJ D7 DJ DK","ST H8",false,1,"H7:98, H9:100, HT:0",7526,Left
"C9 CQ S7 ST SJ SQ H8 H9 HK DJ","C7 SA",false,1,"H7:100, HA:95, HK:0, D7:100, DJ:0, DA:95, C8:98, CJ:95, C9:8, CT:90, CQ:18, CA:95, S8:90, CK:93, S7:0, S9:100, HQ:100, ST:0",19080,Left
"CJ CQ SJ SQ SK H9 HK D8 D9 DJ","HJ HQ",false,1,"C7:100, CJ:0, CA:100, S7:95, S8:95, SJ:0",7407,Right
"C7 C9 S7 S8 SK H9 HJ HK HA DT","H7 DK",false,1,"D9:98, DT:0, DQ:100, D7:98, DA:73, HA:0, ST:68, S8:0, S9:90, HQ:75, HJ:10, HT:93, SJ:70, S7:3, DJ:88, SQ:100, SK:0, D8:100",21898,Right
"C7 CQ CA S7 S9 SA H7 HQ HK D9","C9 D7",false,1,"C8:98, C7:0, CJ:98, H8:95, HA:93, HK:0, S8:100, S7:3, SK:98, H9:88, DA:95, H7:0, CT:100, CK:83, CQ:0, D8:80, D9:0, DQ:100, HT:100, SQ:80, HQ:0",24110,Right
"C8 CA S9 SJ SQ SA H7 H8 H9 DA","D8 DQ",false,1,"H7:0, HQ:100, HA:100, C7:100, C8:0, CK:95, HJ:98, HT:98, H9:0, C9:95, SK:100, CA:0",13291,Declarer
"C8 C9 CQ CA S9 D7 D9 DT DJ DA","CT H9",true,0,"H8:98, HK:100, S9:30, C7:100, C8:58, CK:80, ST:80, S8:93, CA:70, HT:13, HJ:28, CQ:100, H7:33, DA:100, HA:8, SJ:5, SA:35, DJ:100, CJ:38, C9:100, SK:0, S7:52, DT:100, DK:0, D8:68, D7:100, DQ:0, HQ:0, SQ:0, D9:100",40488,Left
"C7 CT CA S7 S8 SJ SK H7 H8 D9","C8 CJ",true,0,"D9:5, DA:100, DK:93, C9:95, CK:93, CT:5, S9:100, S8:18, ST:93, CQ:90, SA:85, C7:0, HJ:68, HT:73, H8:0, D7:45, DQ:52, CA:100, H9:68, H7:100, HA:0, D8:0, HK:0, SK:100, DT:0, HQ:0, SJ:100, DJ:0, SQ:0, S7:100",37312,Declarer
"CQ S7 S9 H7 H8 HJ HQ HK D9 DQ","HA DJ",false,1,"S7:0, SK:100, SA:100, C8:100, CQ:0, C7:100",7809,Declarer
"CJ S9 SQ SA H7 HJ HQ D8 D9 DT","S7 DA",false,1,"H7:0, HA:100, HK:98, C9:100, CA:98, CJ:0, D7:98, D8:0, DK:95, S8:95, ST:93, S9:0, HT:85, HJ:0, H8:100",16399,Declarer
"CQ CA S7 S9 H9 D8 DJ DQ DK DA","SK HJ",false,1,"H8:98, H7:100, H9:0",3871,Left
